symbol	alias_symbol
0610005C13Rik	0610005C13Rik
0610006L08Rik	0610006L08Rik
0610009E02Rik	0610009E02Rik
0610009L18Rik	0610009L18Rik
0610012D04Rik	0610012D04Rik
0610025J13Rik	0610025J13Rik
0610031O16Rik	0610031O16Rik
0610033M10Rik	0610033M10Rik
0610038B21Rik	0610038B21Rik
0610039K10Rik	0610039K10Rik
0610040B10Rik	0610040B10Rik
0610040F04Rik	0610040F04Rik
0610043K17Rik	0610043K17Rik
0710001A04Rik	0710001A04Rik
1010001B22Rik	1010001B22Rik
1100001I12Rik	1100001I12Rik
1110002J07Rik	1110002J07Rik
1110002L01Rik	1110002L01Rik
1110002O04Rik	1110002O04Rik
1110003F10Rik	1110003F10Rik
1110006O24Rik	1110006O24Rik
1110008E08Rik	1110008E08Rik
1110013H19Rik	1110013H19Rik
1110015O18Rik	1110015O18Rik
1110018N20Rik	1110018N20Rik
1110019B22Rik	1110019B22Rik
1110019D14Rik	1110019D14Rik
1110020A21Rik	1110020A21Rik
1110025L11Rik	1110025L11Rik
1110025M09Rik	1110025M09Rik
1110028F11Rik	1110028F11Rik
1110028F18Rik	1110028F18Rik
1110035H17Rik	1110035H17Rik
1110038B12Rik	1110038B12Rik
1110046J04Rik	1110046J04Rik
1110057P08Rik	1110057P08Rik
1110060G06Rik	1110060G06Rik
1190001M18Rik	1190001M18Rik
1190028D05Rik	1190028D05Rik
1200007C13Rik	1200007C13Rik
1300002E11Rik	1300002E11Rik
1300014J16Rik	1300014J16Rik
1300017J02Rik	1300017J02Rik
1300017J02Rik	mICA
1500002C15Rik	1500002C15Rik
1500002F19Rik	1500002F19Rik
1500002F19Rik	BC002195
1500004A13Rik	1500004A13Rik
1500005C15Rik	1500005C15Rik
1500009C09Rik	1500009C09Rik
1500011B03Rik	1500011B03Rik
1500012K07Rik	1500012K07Rik
1500015A07Rik	1500015A07Rik
1500015L24Rik	1500015L24Rik
1500026H17Rik	1500026H17Rik
1500032F14Rik	1500032F14Rik
1500035N22Rik	1500035N22Rik
1600002D24Rik	1600002D24Rik
1600010M07Rik	1600010M07Rik
1600012P17Rik	1600012P17Rik
1600014C23Rik	1600014C23Rik
1600017P15Rik	1600017P15Rik
1600017P15Rik	Gm24413
1600019K03Rik	1600019K03Rik
1600020E01Rik	1600020E01Rik
1600022D10Rik	1600022D10Rik
1600023N17Rik	1600023N17Rik
1600025M17Rik	1600025M17Rik
1600027J07Rik	1600027J07Rik
1600029O15Rik	1600029O15Rik
1700001D01Rik	1700001D01Rik
1700001F09Rik	1700001F09Rik
1700001G01Rik	1700001G01Rik
1700001G11Rik	1700001G11Rik
1700001G17Rik	1700001G17Rik
1700001J03Rik	1700001J03Rik
1700001J04Rik	1700001J04Rik
1700001J11Rik	1700001J11Rik
1700001K19Rik	1700001K19Rik
1700001K23Rik	1700001K23Rik
1700001L05Rik	1700001L05Rik
1700001N15Rik	1700001N15Rik
1700003C15Rik	1700003C15Rik
1700003D09Rik	1700003D09Rik
1700003E24Rik	1700003E24Rik
1700003G18Rik	1700003G18Rik
1700003H04Rik	1700003H04Rik
1700003I16Rik	1700003I16Rik
1700003I16Rik	Gm44368
1700003I22Rik	1700003I22Rik
1700003L19Rik	1700003L19Rik
